source_occurrence_id,index_url,original_href,normalized_url,acquisition_status,canonical_document_id,content_sha256,duplicate_content_group_id,canonical_versus_duplicate,extraction_status,character_count,image_only_flag,ocr_backlog_flag,raw_source_document_type,normalized_document_classification,classification_method,classification_confidence,corpus_scope,facility_match_status,njdoh_facid,njdoh_license_number,internal_facility_id,match_method,match_confidence,public_eligibility,baseline_only,source_year,source_listed_facility_name
nj-doh-enforcement-0001,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-revised-manahawkin-health-and-rehabilitation-center-09012026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-revised-manahawkin-health-and-rehabilitation-center-09012026.pdf,EXISTING_HASH_VERIFIED,be7d20982631965e142643d2c08f0a1fc04fd7e0ec333010c2e668c3f30188d0,be7d20982631965e142643d2c08f0a1fc04fd7e0ec333010c2e668c3f30188d0,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Revised Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Manahawkin Health and Rehabilitation Center
nj-doh-enforcement-0002,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-regency-heritage-nursing-and-rehabilitation-center-08312026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-regency-heritage-nursing-and-rehabilitation-center-08312026.pdf,EXISTING_HASH_VERIFIED,a379a397b5efbc6e2f2fc5fec5558e4a76c40ae19d2fe189060d109189b198fc,a379a397b5efbc6e2f2fc5fec5558e4a76c40ae19d2fe189060d109189b198fc,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Regency Heritage Nursing and Rehabilitation Center
nj-doh-enforcement-0003,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-optima-care-at-harborview-08312026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-optima-care-at-harborview-08312026.pdf,EXISTING_HASH_VERIFIED,84ef05c35d16d5a8318368e3bf1e7cc82adc8e579a5c5c724d04a32d79edc941,84ef05c35d16d5a8318368e3bf1e7cc82adc8e579a5c5c724d04a32d79edc941,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Optima Care at Harborview
nj-doh-enforcement-0004,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-hamilton-grove-healthcare-and-rehabilitation-08312026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-hamilton-grove-healthcare-and-rehabilitation-08312026.pdf,EXISTING_HASH_VERIFIED,8a2595313994a0d9b01da5e8cd02bf9256734881259d5479697ae2a80ad044b8,8a2595313994a0d9b01da5e8cd02bf9256734881259d5479697ae2a80ad044b8,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Hamilton Grove Healthcare and Rehabilitation
nj-doh-enforcement-0005,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-green-hill-08312026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-green-hill-08312026.pdf,EXISTING_HASH_VERIFIED,a437443c435c062acd479deb9ae546888b7d3ecf8c0d1f5c214a0d22610e3d10,a437443c435c062acd479deb9ae546888b7d3ecf8c0d1f5c214a0d22610e3d10,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Green Hill
nj-doh-enforcement-0006,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-the-fountains-of-atco-08312026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-the-fountains-of-atco-08312026.pdf,EXISTING_HASH_VERIFIED,77197e0fefc10d981c8d42fb318b040a88b6f5b69012d3442adbd7ff6a56a670,77197e0fefc10d981c8d42fb318b040a88b6f5b69012d3442adbd7ff6a56a670,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Order Amending Directed Plan of Correction,directed_plan_of_correction,INDEX_METADATA,index_action,,,,,,,,false,true,2026,The Fountains of Atco
nj-doh-enforcement-0007,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-optima-care-at-harborview-08192026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-optima-care-at-harborview-08192026.pdf,EXISTING_HASH_VERIFIED,fb3d672dd71b0fcf59509934d03e2ffd0e3823a94500d46a3cde755652abb1c5,fb3d672dd71b0fcf59509934d03e2ffd0e3823a94500d46a3cde755652abb1c5,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Optima Care at Harborview
nj-doh-enforcement-0008,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-complete-care-at-st-vincents-08192026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-complete-care-at-st-vincents-08192026.pdf,EXISTING_HASH_VERIFIED,983f402c01958c5c52739443ac62a3018d14e3150c08df0f407381fa4dd504b6,983f402c01958c5c52739443ac62a3018d14e3150c08df0f407381fa4dd504b6,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Complete Care at St. Vincents
nj-doh-enforcement-0009,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-complete-care-at-mercerville-08192026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-complete-care-at-mercerville-08192026.pdf,EXISTING_HASH_VERIFIED,c4bd0b22e33f2049b322994d3eebfb80c73a6d2aa989ce0d4e41fb49f17992fb,c4bd0b22e33f2049b322994d3eebfb80c73a6d2aa989ce0d4e41fb49f17992fb,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Revised Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Complete Care at Mercerville
nj-doh-enforcement-0010,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-whiting-gardens-rehab-and-nursing-center-08192026.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-whiting-gardens-rehab-and-nursing-center-08192026.pdf,EXISTING_HASH_VERIFIED,df89c36e9af5dfdadb414b6874fcb9b8184ba95e1559dd6649c2438ef3f3360f,df89c36e9af5dfdadb414b6874fcb9b8184ba95e1559dd6649c2438ef3f3360f,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2026,Whiting Gardens Rehab and Nursing Center
